delta,ticker,exit_dte,held_days,ret,dd,calmar,sharpe,trades,in_mkt,pf,win
0.4,BE,75,90,1.2373385066176992,-0.21153476852293718,5.849338693858886,0.6085685921840961,28,0.9063146997929606,3.222046325655856,0.35714285714285715
0.4,BE,90,75,1.1750891606546277,-0.2526598555421542,4.6508740303564915,0.6471784729839387,33,0.9037267080745341,2.871623942101108,0.3939393939393939
0.4,BE,105,60,1.1670902686671427,-0.2307592930827167,5.057608961597893,0.6474639238637513,42,0.9083850931677019,2.4103119290987687,0.35714285714285715
0.4,BE,120,45,0.7591038586325489,-0.3027299791999162,2.507527865719746,0.48515516643405726,56,0.9078674948240165,1.865641929797208,0.4107142857142857
0.4,BE,135,30,1.1532252861679426,-0.25568796728262033,4.5102837588491,0.6478283101973935,83,0.8995859213250518,1.9102119500053516,0.3493975903614458
0.4,CRDO,0,165,0.4958447883847368,-0.25076261866472505,1.977347305691092,0.48773350519812314,7,0.7557251908396947,4.824973880347726,0.5714285714285714
0.4,CRDO,15,150,0.44003205889181474,-0.2648224458851036,1.6616116410416657,0.48952213950661033,8,0.7872137404580153,3.791857751499521,0.375
0.4,CRDO,30,135,0.48964333973888285,-0.3024394711906766,1.618979618669487,0.4916258438746647,9,0.7977099236641222,3.6433848879505475,0.4444444444444444
0.4,CRDO,45,120,0.662813252740261,-0.25252894702448136,2.624702080890571,0.5906185904511408,10,0.7872137404580153,4.722175553053456,0.5
0.4,CRDO,60,105,0.6774447038538389,-0.20897291054690037,3.2417824017520114,0.6803070057231101,11,0.7547709923664122,4.827763505865669,0.5454545454545454
0.4,CRDO,75,90,0.46236425234957235,-0.19199840818748193,2.4081671130215025,0.5568732119684566,13,0.7700381679389313,3.444201148272532,0.5384615384615384
0.4,CRDO,90,75,0.5239099377881888,-0.16454174722057768,3.1840547863263993,0.7790450000333579,15,0.7490458015267175,3.2411266866316786,0.4666666666666667
0.4,CRDO,105,60,0.5023266167769382,-0.19636150463894542,2.5581725791955923,0.6399590728248,19,0.7528625954198473,3.5410606955461383,0.5263157894736842
0.4,CRDO,120,45,0.576334364708464,-0.1727833531527404,3.335589651388376,0.7786855255671236,25,0.7414122137404581,3.0572568740328534,0.52
0.4,CRDO,135,30,0.47393368661414237,-0.1346568501086911,3.519566113655539,0.7987925239987285,37,0.7385496183206107,2.1210286823234386,0.43243243243243246
0.4,ASX,0,165,0.683757621126885,-0.2943264650646449,2.323126535619917,0.3879891065858355,24,1.0,1.7905059136716062,0.2916666666666667
0.4,ASX,15,150,1.2820070227652316,-0.17087297183497263,7.502690501593083,0.684685369138616,27,1.0,3.2313971042507856,0.37037037037037035
0.4,ASX,30,135,0.8534585955695286,-0.2728409447415484,3.128044423017142,0.46654356546201853,30,1.0,2.497470998434702,0.26666666666666666
0.4,ASX,45,120,0.4452760359538912,-0.2655762365214519,1.67664110986046,0.3012368173813565,34,1.0,1.785581601420619,0.3235294117647059
0.4,ASX,60,105,0.5497198000373045,-0.20534674368186556,2.677031981032826,0.37665007923739074,39,1.0,2.037496765907829,0.3333333333333333
0.4,ASX,75,90,0.44620810931086385,-0.23606999767719217,1.8901517079735801,0.3422260031530531,45,1.0,1.7028384918242754,0.37777777777777777
0.4,ASX,90,75,0.5194465037167959,-0.2356093279351279,2.2046941361329253,0.3694327695306221,53,1.0,1.754410664124459,0.32075471698113206
0.4,ASX,105,60,0.4296170987228696,-0.26606659723145787,1.6146976102721196,0.31870669428841175,67,1.0,1.6517488763133783,0.3880597014925373
0.4,ASX,120,45,0.31292222828796357,-0.29508521201053795,1.0604470015826772,0.27208376692796893,90,1.0,1.3422647962405656,0.4444444444444444
0.4,ASX,135,30,0.2135696728535661,-0.39186026301079857,0.5450148765088761,0.19669558588433586,134,1.0,1.2062116760654185,0.3880597014925373
